Q9D1H6	Q9P032
Q9D880	Q3ZCQ8	M0R5X1
Q8WVE0	A0A0G2KAX1	A0A0D2X7Z2
Q99MR0	Q641W9	P62736
Q5MYW4	Q2TL60	Q5HYK9
P35498	O55017
D3ZIC2	Q8VC12
P35295	D4AAE6	Q9NX57
Q92537	D4A231	Q8BH32
Q8IVT5	F1M7X4	Q62120
M0R3X7	Q91W97	Q2TB90
P35237	Q5M7T5	Q9DAV6
Q99592	B1WBS3
Q401N2	E9QLC0	P35563
Q68G31	Q9DCG6	P30039
Q8BMG1	Q8WXE1
P05026	Q63377	P50992
P01213	F1M7S3	P22005
Q5SZT7	A0A0G2K4P5	Q8N5F7
P25686	Q5XIP0	Q9QYJ3
Q96G27	P97764
Q7Z3Z2	M0R688	Q8BRE0
Q8R0I0	D3ZYK4	Q9BYF1
Q91V64	Q96AB3
A0A0R4IZY3	P22455	B5DFD6
P61923	D4A8T3	P61924
P55087	P47864	Q02013
P15559	Q64669	Q6AY80
Q3UH93	D4AA77	Q9Y4D7
A0A0G2KB18	A2A3K4	Q6PFY9
B2RZ73	A0A0N4SVH3	Q9NY27
Q5M7Z0	D3ZG84	Q9DCN7
E9QQ26	Q6UWR7
Q99KN9	O95208
D4A6F3	Q9D6Z6	Q9NZH7
D3ZAI4	Q8BML2
Q80XR2	Q59HD1	A0A0G2JWJ5
Q8N5S1	Q3V132
Q9HC78	F1M2Y6	Q8K0L9
Q5RKH2	Q68FH4
P20291	P30355	P20292
E9Q492	Q8N328
P06858	Q8VBX1	P27656
V9GWZ4	Q566D8	Q76GR4
Q8NBS9	Q5I0H9
Q2KJ10	Q9D1H0	Q96K30
D3ZIS7	Q3V2D2	Q6UWT4
Q9UKJ8	Q9Z1K9	F8VQ03
Q9H4X1	Q9Z2P4	Q9DBX1
Q7Z6Z6	D4A3G9
Q9D0Q7	D4A104	A0A087X2D5
Q8CIN7	P29218	Q91UZ5
Q96JJ3	G3V982	Q8BHL5
Q3U1C6	M0R5U3	Q17R31
Q9CPQ1	P09669
Q9BXX0	Q99K41
Q9D6Y9	A0A0G2JTB2	Q04446
Q9CR98	B0BN94	Q96C01
Q60750	F1LQK6	Q9UF33
Q8CIM8	D3ZZQ6	Q96HW7
P35221	Q64727
F1M7P7	Q9BWX5	Q61169
P16581	P18337	A0A096MK10
E9Q1J0	F1M568	Q96NG5
Q0KL01	O35987	P68543
Q8VBZ3	D4A416	O96005
Q96BZ8	D3ZER8	Q9DB98
Q6ZT12	Q5U430	D4A9U6
Q9BRB3	Q642B8	Q9QYT7
Q13368	O88953	P70290
Q9CQA5	Q561Q8	Q9NPJ6
P0DMV8	Q61316	P14659
D3ZF86	Q9Y6D6	E9QAD8
Q9JMK0	Q66HH1	O60513
Q9JM76	B2GV73	O15145
G3V6H4	P20782
F6UPM1	Q9HAP2
Q8BXK4	D3ZV22	Q1RMZ1
D4A5N6	Q3URY0	Q6ZR62
Q8NFB2	D3ZWX2	A2AF53
E9Q6C8	Q3B7L3	P51811
Q96IZ2	Q5M828	Q8C138
Q80WQ8	A0A0G2JZZ6	Q6P0N0
Q99996	E9QQ10	D3ZMY8
Q9QYJ0	A0A0G2K5E4	Q8WW22
Q5QNW6	Q64525
A2AJQ3	D3Z939	Q7Z388
Q6AYL9	Q99P69	Q9BZD4
Q8IY84	Q63450	H3BJC9
O14796	Q149T1	B2RZ59
Q16563	P07825
A3KGS3	E9PSX8	Q2PPJ7
Q7TMA2	Q96F45	D4ABF5
O43543	Q08297
Q9UKS6	A0A0G2JWR2
Q9C0A6	A0A0G2JWF0	Q5XJV7
O75129	A0A0G2JYU3	Q80Z10
Q09PK2	Q53RT3
Q8C460	D4A625	O43414
P60203	Q62079	P60201
P27005	P50115	P05109
Q9WTM5	Q9Y265
P02741	A0A0H2UHH2	P12246
Q6GQR8	P49711	D3ZVD4
Q15291	F1M9F9	E9QP54
P57113	O15217	P10648
Q9HAV0	P29387	D3ZZ54
Q9NRP7	Q9QY01	Q9WTQ1
Q9D7P7	O95833	Q6MG61
Q8QZR7	D3ZKW5	Q8N165
Q8IZU9	Q9R044	Q9QZS7
Q9D1A0	D3ZAK1	Q7RTV5
Q86SQ7	A0A0G2JUD0	Q80UF4
Q331S7	Q9CRD4	Q9BQY9
Q96JP2	P13542	F1LV10
Q96SQ7	Q64289	P48985
O43151	Q4JK59
Q99LX5	Q5M9I6	Q9BU76
Q5SS91	A0A0G2K016	Q9NPE6
Q5VYY1	D4ADM7	Q9D3J5
Q9R0Q6	O88656	Q92747
Q6NSX1	B5DFG0	Q9D9B0
Q13625	Q91WK7	Q76K24
Q61087	A0A0S2Z3Z3
Q96C90	Q8K3F3	Q62084
Q96CW5	Q921G8
D3Z7Q2	Q8N5G0
D4ADX8	Q14451	F2Z3U3
Q68FW2	Q99M54	Q99618
Q62807	Q920M7	C9J798
P61807	P61808	O75324
Q32MK0	P20689	Q8VCR8
A0A0G2K3A4	Q8CJ69	Q6ZRI0
Q8K2V6	M0R8E8	Q9UI26
Q8K3V4	D4ABN7	Q6TGC4
P97573	Q13322	Q9ES52
Q8NDC4	Q5BJS9	Q6PGF2
Q9NP59	Q923U9	Q9JHI9
Q6ZRI8	F1M6E2	O54834
Q32P44	E9QK36
D3Z5G3	P23347	P04920
Q5SXJ3	D3ZEG9	Q9NZ71
Q9UGJ1	A0A0G2JUU7	P58854
D4A4J0	G3X956	Q9Y5B9
D3ZTT7	Q8BJS4	O94901
E9PTQ3	Q8TC27
Q504Q3	Q8BGF7	A1A5R7
Q9Y5B0	A0A0G2K0J7	Q7TSG2
Q7TNL7	D3ZBG7	Q16690
F8VQ05	D3ZQY4	O94915
Q7Z6B0	Q6AY97	Q9D8L5
D3ZTZ6	Q9D3W5	Q8N4P6
Q499Q4	Q9D0F9	P36871
Q8N1G4	Q9WUA2
D4A7Q3	Q8BTE0	Q5VUM1
P68402	Q61205	O35264
O88843	D3ZB14	P78560
H3BJC3	P55926
Q496Z8	Q7TQH7	O75074
Q69ZS8	Q91Z80
F1LR18	P42331	G3X932
Q9D903	Q99848
Q9JJE1	Q925D6
Q8NEX9	D4A4Y2
Q712U5	P56212	P56211
A0A0G2JTP2	Q8C963	P0C7I6
Q8BMK1	Q6AXU8	Q8TCB7
Q9DAK2	Q96M98
Q63083	Q02819	P80303
O95863	O08954
Q32PX2	Q8R010	Q13155
P61460	A0A0G2K6M8	O75140
P55786	G3V7W7
G3V6V7	P10300	P10966
Q8R5G4	Q60772	P42773
Q9JJJ3	P56627	O14520
Q5U901	Q8N4T0	D3ZAM3
Q9Z1N1	P70695	O00757
Q6ZSS7	D3ZCJ3	Q8CBH5
F1LSQ8	P11403	P12034
Q63ZW7	Q4L1J4	Q68DX3
P06702	A0A0H2UHJ1	P31725
Q9Y5P4	D4ACN6	Q3B7Z2
P04961	P17918	P12004
P62911	P62912	P62910
Q9QY39	D3ZLI9	Q76G19
Q9UPU5	P70398	Q4VSI4
Q5XJY4	M0R589	Q9H300
O54775	G3V6X0	O95388
Q9H0X9	Q9ER64	D3ZHZ3
Q9DC49	P27952	P15880
F1LMM4	Q5RJI4	Q504Y2
Q61016	G3V6P8	O60262
Q9NWQ4	F7FA15	Q7TQC7
Q6P0K8	Q02257	P14923
P61129	F1LTU5	Q6ZPZ3
Q9ESM0	Q7TT16	Q8NFU5
P06276	Q03311	Q62765
F1LNV5	Q9BPX6	Q8CD10
Q9P2X0	D3ZIJ5	Q9D1Q4
P35408	P43253	G3UYL9
P56524	Q4QQW4	O09106
P61793	P25099
Q9QYB1	A0A0G2JTB6	Q96NY7
Q9BYT9	F1M0A0	A2AHL1
Q9BWK5	Q6AYH4	Q8BHZ5
Q8BXK8	Q9UPQ3	A0A0G2K527
A0A0G2KB38	Q2M2N2	Q6IQ16
P42685	D4A7W7	Q03526
D3ZF19	Q9D850	Q96MH6
O35516	A6BM72
G3V8S7	P58391	Q9UGI6
P45352	P07607	P04818
Q02769	P53798	P37268
D4A468	Q96A84	Q91VF6
D4A9Y2	Q9CZL2	Q8N8J7
Q6ZTI6	D3ZXN7	Q7TS73
O15524	G3V6B4	O35716
Q4FZU0	Q8BP40	Q9NPH0
Q8C5P5	D3ZAI6	Q5TFE4
Q8CI17	D4AE70	Q08AI8
P56571	Q9D172
O55196	D3ZIB0	Q9NRM1
A0A0G2JSN6	Q9Z0M6	Q86SQ4
A0A0G2K7G2	Q8K2K6	O95081
Q9DD24	B2RYT6	Q9UHQ7
Q8BGI3	Q80UA9	Q9Y5U4
Q91W32	Q5XLA6
D4ABB2	Q8VHK5	Q15049
Q3V2E0	Q8NHM4
Q14982	Q8BMT5	G3V964
Q96JN0	A0A096MJC8
Q9Y6Q3	F1LQU1
Q6GQT6	Q12770	P51639
A7M7C7	Q2VWA4	A0A0G2K628
Q9CQR4	D3ZA93	Q9NPJ3
Q01650	B5D5N9	Q9QXA6
F1LU76	Q8CAF4	Q6T4R5
O95232	B2RYP6	Q9CYI4
P15328	P35846	D4A4S5
Q9UGP5	P06766	Q9JIW4
Q04637	Q3URI0	A0A0G2JVP5
Q5T2W1	A0A0R4J1V0	G3V6D9
Q91ZY2	P08483
Q9HCM3	D3Z9D0	Q68FD9
Q8IYB4	F1LMT5	O09012
Q4V8K1	Q923B6	Q9UHE8
Q96MC4	Q6AY32	Q497N6
P0DP23	P0DP31	Q9JLK7
Q14232	Q99LD9	A0A096MIS3
F1LMZ4	P13639	Q8C3X4
D3ZKI3	O70303	Q9UHD4
P0C5X8	Q9D3A9	Q9C0H2
Q8K0C1	D4AAM0	O94829
O70589	B5DFE0	Q13554
Q9ERZ6	Q6PIW4
P60007	D3ZQX4	P60006
P63154	A1A5S1	O94906
O75179	M0R3S6	E9PUD3
P06767	P41539	P20366
Q8BT14	Q498M7	O95628
D3ZN21	P17844	Q61496
A1L1I2	G3X9R9	Q15077
F1MAS1	Q66L44	Q8N350
Q9NZ48	P36876	Q6P1F6
Q06432	G3V6E5	O70578
O15178	D3ZCM2	O54839
Q9UBB9	Q5U2Y6	Q9ERA6
Q8NI27	F1M0V4	B1AZI6
Q80UN9	D4A175	Q9H3H1
P56388	P49192	Q16568
Q9NQ31	D3ZV70	Q9JJR5
Q99NH0	Q8IWG5
O35250	O54922	Q9UPT5
Q6NSW7	Q80Z64	D3ZS29
Q32Q12	Q9WV84	F1LNL9
P09926	Q15527
D3ZLW4	Q6GYP7	P49815
D3ZF32	Q2LA85	Q5T2D2
F8VQ70	F1LRM0	Q9BY12
D4A5T6	P85298	F8VPQ4
Q8BI79	Q4G0X9
D4A4Q4	Q9D8W7	Q56VL3
Q96EH8	Q5M870	Q8CJC5
Q6R0H7	O75632
Q9GZV1	P0C6S7	Q8CEF1
Q91Y04	Q9Y5I0
Q7M710	Q9NYW2
P23468	Q62656
Q5XI37	Q9DC71	P82914
Q96A65	M0RBF8	O35382
Q6NUJ2	Q569A3	Q32M26
Q9HBM6	Q5BKE0	Q8VI33
G3V9H0	E9PYG6
Q8VCA5	Q9NRS4
P97436	Q497B7	Q99801
Q9ER72	G3V9K0	P49589
D3ZPE6	Q9CPY1	Q4U2R6
M0RBE7	A0A1W2P6U8	Q68DN1
P35419	G3V8A3	Q9NRD8
D3ZIQ1	O55137	Q14032
Q9BSJ8	D3ZC04
Q99729	Q99020
D3ZZJ7	Q3U564
Q8N6H7	A0A0G2JUX2	Q9EPJ9
Q8BP47	A0A0G2K7D7	O43776
Q6AXU4	Q9CY62	Q9P0P0
Q8IV31	D4AC26	E9PX92
Q8CFI5	Q5M7W7	Q7L3T8
O43462	D3ZDS6	Q8CHX6
Q6P7F1	O88954	Q14168
Q9JMH7	Q99PW5	Q8WWR8
Q658K8	O70251	Q68FR9
Q8VC04	Q5BK83	Q96A25
Q9BTX1	A0A140TAA8	Q8VCB1
Q8BH31	Q7TP49	Q8NHS3
Q9P2T1	A0A0G2JX25	P24547
P29728	A0A0G2K6Q2	E9Q9A9
A0A0G2KAW5	Q8C4J7
E7EPI0	A0A067XG46	B1H227
A0A1I7Q4A6	A0A0G2K3W4	Q7L2Z9
E9PUN6	Q8TE56
P41970	P41158	P41156
P45379	J3QP61	P50753
P21278	P04897
Q5XPT3	A0PJZ3
P63045	P23763	Q62442
Q8BM72	P0DMW1
D4ACR8	Q01094	Q61502
P02088	P01946	P02042
Q53GS9	B2GV41	Q3TIX9
P20711	Q64611	O88533
Q8K120	D3ZE20	Q14934
P30533	Q99068	P55302
G3V7J0	Q02252	P47739
B2RYW3	Q9CQJ8	Q9Y6M9
Q9CY16	Q6TXG8	Q9Y2Q9
Q63953	P17181	D3ZDS9
Q792H5	Q12926	Q91W59
D3ZHV7	Q8R238	Q96GA7
B2GV79	Q8CHP8	A6NDG6
D3ZG48	P16381	Q7Z4W5
Q9CQI1	P08427	P06734
Q9NRW8	G3V717	P46662
Q5XIP2	Q9CXY9	Q99538
A0A0G2JSZ9	P08228	O14618
Q71RI9	Q96QU6	F1LXH1
Q9CWX4	D4A6T2	Q96CM3
Q6DFV3	F1M5M9	O43295
P83093	D4A5X1	Q9P246
A0A0G2K364	Q99MW3	O60810
Q9NQ33	M0QW46	D3ZS54
Q8BK35	Q6QLN3	Q9NZM5
P30559	G3V693	Q01776
P62280	P62282	P62281
Q6GQU0	D4AC80	A6NLC5
D3ZZL8	Q8K1E3	Q04721
Q810B6	F1LWB9
P62330	P62332	Q3TXJ4
A0A0G2K302	Q7TN05	P59780
Q9HCD5	D3ZEI6	Q91W39
Q8R4H9	Q6NXT4
P49447	B5DFI2	Q925G2
Q9ULE0	D4AEJ5
Q9NY97	Q920V1	Q6AY39
Q96DN2	Q3U515	A0A0G2KB47
Q9D113	D3ZWJ1	Q5SXM8
Q13794	Q5U777	Q9JM54
F6S7W6	P57059	O08679
A0A0R4J057	B1WBX1
Q9UGN4	Q3LRV9	F1LU58
Q9WUB8	Q80W99
D4A8M7	Q8C156	Q15003
Q9Y5X9	Q8CIV3	A0A0G2K6S7
P52848	G3V7E2	Q673U1
I6L9G6	Q921F2
P49841	P63085	G3V618
Q15722	Q9R0Q2	O88855
Q9CZH8	D3ZHU5	Q9BR77
G3V6R9	Q8VED2	Q8TDM0
Q14699	Q8CHX7
O09165	P19633	P31415
Q9Y2Y0	Q4V8C5	Q9D385
D3Z9M5	P45878	Q9Y680
P84157	M0RA39	Q9CZH7
F1LTZ5	Q9R1E6	Q9Y6X5
A0A140TA97	Q8BZM0	Q9UH77
Q6N043	A0A0G2JY58
Q9Z2Q5	P83565	Q9NQ50
Q9UHX3	Q8R0T6
Q5M934	Q8C0D0	O60832
Q9CYX7	Q5M947	Q9Y3B9
Q9P0L9	Q9JMI9	O08852
A0A1B0GTZ2	D4A4F0	A0A1B0GRJ3
F1LVG1	Q7TML0	Q86T26
Q9DC23	A0A0G2JSZ5	Q8N4C5
Q9D881	P10606
P20491	P20411	P30273
Q3TML0	Q9Y2G8	Q498R3
Q9CWJ3	B1WBZ9	Q9H079
Q9BWT6	F1LWN6	Q8K396
F6YRW4	Q9Y2K7	D4A2L9
P56479	Q63634	P50391
Q8R0A7	D4A3C2	O60268
F1M9D3	Q99500	O08530
Q6PG95	D3ZNU3	Q96RY5
O08602	Q8TD07
Q0P6H9	D3ZIW4	Q8BXJ9
E9PT72	Q8IYX1	Q9CXF4
Q5HZY0	A0A087WSK5	Q92575
Q8BW56	Q53E76	Q4AE62
Q8N5Z0	Q64602	Q9WVM8
Q8R2Y3	D3ZLM6	Q9UPQ8
B2RZB0	Q9D2C6	Q9Y535
Q96KR4	D4AC69	Q8BMN4
P08048	A0A096MJV6	P17012
Q330K2	A0A0H2UI06	A2AIL4
Q9BRI3	P0CE46	P97441
P27469	Q5M840	Q61585
P48547	P16390	P15384
Q6PI77	Q6PB60	D3ZV39
Q96KB5	Q63932
F1MAM1	F8VPX2	Q5XUX1
Q9DCX2	P31399	O75947
Q6PSM0	P70170
Q99665	A0A0G2JY76	O70394
Q9JHX2	Q6IMK2	Q13351
Q86UB9	Q5U4F4	Q9CYV5
Q99675	G3V7C9	Q8BMJ7
P55345	Q4AE70	Q9WVG6
O75563	Q3UUV5	Q920G0
Q8BMD8	Q05962	Q9BV35
Q9BUE0	M0R976	Q9CZ82
P18826	A0A096MJF7	P46020
P85107	Q923W1	Q96RS0
Q61907	Q08388	Q9UBM1
Q8C1D8	Q3SWT4	Q96ST2
P05112	P20096	P07750
Q9ES71	Q9HCL2	P98192
G3V8Y2	Q6PHP6	Q8TF66
Q8VHQ4	Q6Y2E6	P0C0E4
Q4KMZ1	M0RCW8	A2ADZ8
A6H909	P20226	Q6SJ95
Q9D428	F1M362	Q2TAP0
Q92830	A0A0G2K4A3	E9Q6A7
G3X8X0	Q6PKC8
O43504	D3ZF11	Q9D1L9
P13595	G3V7S1
F1LX81	Q8IYM2	Q8CBA2
Q8IYM0	D4ADP4
F1LYJ8	Q8CB44	Q6IC98
P43034	Q3TAU7	O35142
A0A0G2JTW1	Q80ZJ1	P10114
P42898	D4A7E8	Q9WU20
Q9CZ28	Q5RK19	Q96H20
Q12955	D3Z8Q6	A0A1L1ST07
Q63276	Q9QYR9	Q8N9L9
A0A0G2JZZ8	Q7TNB8	Q9Y2G9
D4A1M4	O70570	P01833
Q8WVK7	Q5I0J4	Q9CR46
P56386	O89117	P60022
Q91V88	Q6UXI9
Q8TCU6	Q69ZK0	F1M8Y4
P40189	D3ZIV9	Q9JM58
Q13421	Q9ERA7	Q61468
O75131	Q8BT60	D4ACG7
P28841	P21661	Q92824
Q92949	Q499D0
Q15569	Q8VCT9	F1LRA7
Q99439	Q08091
P08476	P43029	D4A7P9
P13286	Q923T9
Q6ZPR5	F1MAK9	Q9NXE4
Q9D2W7	B0BNF9	Q9NYQ3
Q9BWP8	D4A7F6
Q5GH73	Q9QXY7	F1LPR0
P51170	Q9WU39	B8QP48
Q8BJ51	D3ZEI8	O43934
Q6AYU5	P61979	B4DRD7
Q7M767	Q9D2M8	Q15819
P48060	Q5FVN7	Q9CWG1
F8WJ23	Q86YZ3
O43264	Q4V8C2	O54692
Q8K1K9	D3ZAT1	Q9BQA5
D4A7G6	P0C5I1	O00155
P13164	Q9R175	Q99J93
Q99J39	Q920F5	O95822
P11487	Q0VG15	P48807
Q80U70	A0A0G2K2I0	Q15022
P43247	Q9UMP2
P46638	P05714	P61018
Q9CQH3	D4A565	O43674
P60324	D4A138	P60321
F7ERL4	Q99L48	Q96D46
Q04759	F1LS42	P20444
Q92932	P29351
Q9P2K8	Q4QQV4	Q99KK9
P22888	P21463	Q3UVD5
D3ZWB1	Q8VC85	O15116
Q8IUD6	D4A9N5
D3ZUQ8	A2A9C3	Q5T011
B4DQ50	Z4YP11	Q9JLF6
Q80Y24	Q9UGI8	Q6AYF2
Q9ULC4	Q4G009	Q9DB27
Q6A028	D3ZRE7	Q9UH65
Q8WW01	A0A0G2K1V3	G3X8S8
A2ACM0	D3ZDU2	Q8N122
Q14643	A0A0G2K5J1
Q76KJ5	D4ADE7	O15446
P62630	P15170	P10126
Q99J25	D3ZK81	Q6IN84
Q15797	Q62432
A7XYQ1	A7XYI6	Q0P5V2
Q96H12	D4A3I3	Q9CR78
Q80WM5	D4A8Y6
Q6P0Q8	D3ZN37	P70336
P16234	Q3UEW6	Q05030
Q7Z5A4	D3ZXU4	Q8VIF2
O75586	B0BNE1	Q921D4
Q99640	P47810	Q63802
O60645	Q62825	Q61333
O00428	Q9QZC5	Q03160
Q498T0	Q8BNW6	Q13884
D4ABS5	Q8BWR2	Q9GZP4
Q6UXN8	D4AD02	Q8BRU4
Q9CR11	D3ZBV9	Q9ULM3
P51668	D3ZXS8	P61087
Q9P2K9	D3ZW02	E9QL24
Q9UDY4	O54946
D4A2F6	Q8CCH2	Q5JS37
O75594	G3V7R2	O88593
F7DDS0	D4ADU7	Q8N6R0
Q99KK1	Q9BRK0	M0R8C1
Q8CI32	Q156J1	Q9UL15
Q8IWV7	O70481	D3ZQC6
Q9C0G6	A0A096MJU2	D3Z2X2
Q5FVK6	Q8BRN9	Q5T0F9
Q6UPE0	Q8BJ64	Q8NE62
Q14525	Q6IFW7	A2A513
Q6PI47	Q7TNY1
Q33E94	P48377	D3ZQ82
O60218	Q9JII6	P23457
Q8VHX0	Q9JJV5	O60359
P15884	Q61286	A0A0G2K030
Q64429	Q4G0S4
M0R8V0	A2RSJ4	A0JNW5
Q5T700	D4A460	D3YYZ1
Q8N7C0	Q9Z0L0	P59035
Q9CPT4	M0R3V4	Q969H8
Q3U0Y2	Q8NCS4
D3ZDT0	Q3USL1	Q8NEP7
Q9C040	D4A7S9
Q8BTW9	Q64303
Q7TP44	A2AQU8	Q9BYN0
P53985	Q8K1C7
D3ZEM1	G3X8Q7	Q02548
O88545	Q7L5N1	D4AC36
B2GUZ9	Q921M7	Q9NUQ9
Q9ESC2	Q9EP64	Q9H2S6
Q8CFV9	Q6AYA7	Q969G6
P08289	P09242	P05186
M0R484	Q5DTU0	Q8N556
Q8CDM4	F1M0U1	Q6ZRK6
G3X9N5	A0A0G2JSW7	O95158
Q9NRA8	D4ACF1	Q9EST3
A0A0R3P9D2	F1M578	Q08708
Q13425	A2AKD7	B5DFL0
Q9D6W7	D3ZGM0	Q6UWJ8
Q9CWH1	Q9H5J0	D3ZTY1
Q96CB9	D4A3S8
Q8CGY8	A0A096MJY3	Q96AY4
Q9Z0N9	O75602
Q9UKT8	D3ZXC6	Q922B6
P22626	Q8BG05	F1LWE6
P22361	D3ZER1
Q76KF0	D3ZHJ3	Q9C0C4
A0A0R4IZW8	Q78EJ9	A6NHC0
Q63273	Q91ZU9	O60391
Q9D5V2	D3Z8N4
Q9Y3P8	Q5M869	Q8C503
A2AMZ4	D3ZUI9	A1L188
Q8NES3	O09008	Q924T4
Q8NB90	D3ZTY9	Q9DBY8
P29596	Q60765	Q8WYK2
Q9WTZ9	Q6PDU5	Q00994
Q6IRU7	F1LP29	Q5JTW2
Q14194	Q62950	P97427
Q64237	G3V9S5	P19021
Q99081	P15806	A0A0G2JWU7
Q9CZQ9	B2RZ48	Q8N3I7
Q8K0H7	A0A0G2QC36	Q96JT2
A6NE01	A0A0G2K7H5	Q9D9R9
P24390	Q99JH8	Q5U305
Q3USW5	D4A1A1	Q8IWF2
G3V7D0	P50281	P41245
Q8BMA6	B2RYI2	Q9UHB9
A0A0G2K756	A0A0R4J079	Q9H3P7
O54803	P56373	P49653
P14142	P14672	D3ZNG4
Q9CRB6	Q5PPN5	Q9BW30
P21844	P00763	P23946
Q9Y2L5	F1M9W9	Q9CU98
Q15404	Q8BGR2	D4A8F2
Q9UK76	Q6AXU6	P97825
Q9HBA0	G3V7Y1	Q9EPK8
Q05BQ5	F1M8A7	A2A5N8
Q497H0	A0A0G2JV07	Q9H8U3
Q8NBM8	Q99ML5	Q9CQF9
Q3THS6	F1LRB8	P31153
D4A6W7	Q7RTU0	Q9JLR5
A0A0G2JUS5	Q9JMF7	Q86YN1
P30085	A0A0G2JTN5	Q9WTP6
P03987	Q6N089
Q32PX4	O35903	O15444
Q80X41	A0A0G2JYZ1
Q8WVV9	Q9ET33	P17225
Q9NYU2	Q9JLA3	Q6P5E4
Q9CPT0	Q6AYK4	Q9BZR8
A2AGA4	D3ZA62	Q9NX52
G3V529	Q6VEU8	Q9ESV0
Q15833	O08700	P97390
Q9CPU7	F1M4T6
Q9CQL7	Q7TP34	Q96HT8
Q9H2M3	F1LMG2	Q91WS4
G3XA48	Q9BXS1
F1M6B6	Q9HCL0	Q91XX8
O95922	A4Q9E5	D3ZF82
Q9D8N2	F1LNS2	Q8TCE6
P11177	Q6P3A8	P49432
Q9EQS5	O88822	O75845
D3ZZI6	E9Q9Q6	Q08554
B1H226	A0A0A6YWQ3	Q8IXR5
Q5U2V0	P43694
Q8VCD7	D3ZUW8
Q6PR54	A0A0G2KB73	Q5UIP0
Q8N680	G3UW50	D4ABS0
Q6P1Q0	B0K026	Q924L1
Q91WD9	P22676	F1LN07
P52797	D3ZEN1	O08543
Q8BQ30	Q5XHX2	Q4KMQ1
Q9BZE9	Q99PL6
Q8N5J2	Q76LS9	D3ZWA1
Q9QUR2	Q8CBY8	Q9UJW0
Q9WVC7	Q7Z362
D3Z5L9	D3ZDL5	O95389
Q13797	A0A0G2K1E2	Q61738
Q63HQ0	A0A0G2K0K6	E9PYF7
Q63871	F1LZN9	P53803
M0R6Z9	E9PV66	Q8IUG5
Q91VX9	A0A096MIS5	Q9H0V1
Q8IUR7	F1M943	Q9DBR3
Q93063	G3V901	P97464
Q9H3G5	Q920A6	Q920A5
D3Z840	Q8K368	Q9NVI1
Q8VC51	Q5XII5	Q9BUR4
Q6PGA0	Q13330	A0A140TA98
A0A0G2JXY1	Q00547	O75330
P80317	P40227	D4ACB8
B9EKR1	Q03348	Q15262
Q9BXA7	Q9D411
Q5SZV5	P0CI71	Q5VV43
D3ZYY5	Q9JI90	O60260
Q6P6S0	Q8R570	Q5SQN1
Q9NVU7	Q5XIQ5	A0A0R4J0B7
Q8CI70	F1LUD9	Q8TCA0
E9Q5A7	D4A3U5	Q86UP3
P60764	P63000	M0R5T4
P17661	G3V7S2	P19246
D4ACL0	P31313	P31274
Q9Z2B9	P47196
Q86UA1	Q99LI7
Q8BY71	Q5M939	O14929
O00587	O09010	G3V725
Q544X6	D3ZBM3	P22830
D4A4L4	A2AEY4	Q8IWC1
F1LNV1	P14151	Q01102
Q13145	Q91XN4	Q9D0L6
A0A0G2K3G1	Q8R4L0	Q9H6Q3
Q9Y5W5	A0A096P6L6	Q9WTS6
Q9JJE7	Q8K1P9	Q9Y5Q0
A0A0G2JT07	Q8VDF2	Q96T88
P26010	F1LV44	P26011
Q4V8G7	Q8C4M7	Q71F23
Q8C8N2	F1M3P6	Q8N9R8
Q6AXM8	Q62086	Q15165
Q3TVC7	A0A0H2UHJ2	O95273
Q4U2R1	B1WC72
Q5XIG4	Q9CRD0	Q9NX40
F1M0B3	P14616	E9QNJ9
P36894	F1LQC5
Q60714	Q9ES38	O14975
Q8C5S7	Q6AYJ4	O95072
A0A0G2JXV6	G5E884
O55230	O15315
Q13045	D3ZWS0
Q9CY46	D4A2C6	Q9Y4Z0
P20702	B5DEG1	Q60677
O55106	G3V6L8	Q0VAF9
Q96QF0	Q8VDV3	F1LPG6
Q96CT7	D3ZUL1	Q9D8X2
P12526	P30554	P04201
B2GUV5	Q9CR51	O75348
M0R6D5	P36363
Q5EB98	P70371	Q15554
P56393	P80431	P24311
A0A0G2JYQ6	Q8BQV2	P28329
P47755	Q6AYW7
B1WBV2	Q61091	Q92765
Q0VBD0	B2RYB8
P09174	Q13956	P61250
O43609	D3Z915
Q4KM95	Q8R2U7	Q9Y546
E9QP19	Q7TP39	Q9H8W5
Q62312	P80204
Q4QQS4	B5BUB1
Q91YU7	P18331	P22003
Q3TIR1	Q5M887	A5PLN9
P53350	Q9R011	P53351
Q9UKJ5	G3V6A1	Q9D9G3
Q642B3	Q8BP97	Q9Y3P4
Q9P244	Q99PH1	D3ZAE6
P16333	Q9Z0R6	D4A3M8
Q9JKV9	D3ZFI7	Q9NYY1
Q5VYX0	Q5U2W9	A0A0R4J156
P38718	Q9D023	O95563
Q9D8U6	D4A545	Q8IX19
P09544	D4A9J2	Q64527
Q9EQH4	D3ZY89	Q7Z7C8
E9PU36	Q920D7	Q96QR1
Q499R6	Q9DAZ9	Q96K21
Q9H8Y1	M0RCR3	Q3SYK4
Q8IYJ3	E9PU77
D3ZSJ1	Q0VDY1	Q8NH49
P33896	D3ZJZ2	Q08334
Q9P1W9	Q5PQT0
Q96NT0	B2GV96	Q8VE99
Q62667	E9Q3X0	Q14764
Q6X9T8	Q9QUJ0	Q9UBK5
Q9BQS8	Q8BIJ7	D3Z9D2
Q9H6Q4	Q9CYQ7	Q2YDU6
