Q8BRM8	Q9ULW5
Q86TC9	E9Q8N1
Q6NXZ1	D4A2C1	A5PL33
Q922S4	G3V7V8	O76074
Q9WUK0	Q5RL10	P51460
P51942	Q5XI24	P21941
Q9UID6	Q5PPG4	Q99KZ6
Q9JJU8	B5DFD8	O75368
Q6NS69	D3ZHS8	Q8N944
P15311	P31977	Q920B0
Q924I2	Q8CIN4	Q13177
Q07456	Q64240	P02760
Q8BRT1	Q96F87
Q8C1Q4	Q5Q0T9	Q9UJH8
F1LX27	B2RY58	Q12809
D3ZRG3	E9Q8M1	Q9NW07
Q9BXF9	Q4V8G8	Q6X6Z7
Q9P2K5	Q8C854	D4AEI5
Q69Z61	B2RYP9	Q96N64
B4F789	Q9WV35	Q8IUX4
O55123	G3V788	P09238
D3ZH76	Q149B8	Q5SV97
Q02956	P09217	Q05513
P08708	P18266	P63276
B5DFB0	Q8CG70	Q8IVL6
Q91VN1	Q7TNK3	P17028
M0RAD5	O88696	Q16740
Q96HE9	D4ADC1	Q8BHE0
F1M1W4	M0QWK1	Q9NV92
Q7TPN5	P42768	O08816
Q9CZD5	B0BNE9	Q9H2K0
Q80XH1	Q5M853	Q9BQD3
P04235	P19377	P04234
D3YUT6	P29034
D3ZPX9	O35949	Q9HB03
O94898	D3ZQV2	Q52KR2
P78344	F1LN59	G3XA17
Q62406	B2RYH5	P51617
P01344	P01346	P09535
P16403	A0A0G2K654	P15864
Q8N1A6	Q5M845	Q8BGN2
Q62609	O88998	Q99784
Q86YV0	D3ZWW3	Q8C2K5
Q80VM3	Q6AYP3	Q8NA56
P35355	Q05769	P35354
Q9JHF3	Q9JM51	O14684
P53690	Q10739	P50281
P21807	P19246	P12036
P23463	P13378
P27274	P13987
E9PT91	Q6P8H8	Q9BVK2
Q99973	A0A0G2JT33	P97499
Q8BHJ7	P19969	P31644
Q9QZC8	Q5RK23	Q96SE0
Q9D279	D3ZHV9	Q8IVT2
F1LMG1	Q8BTM9	Q8TDF6
G3V6U3	Q9DBE8	Q9H553
P41219	F1M7P4	G3X981
Q6PIF6	Q9QYF3	Q99MZ6
Q53EZ4	Q4V7C8	Q8BT07
P22392	P19804
A0A0R4J100	D4ACK0	Q9NQS5
Q99N14	Q8CH01	Q86UU9
Q6PGL7	F1LPG9	Q9Y4E1
Q08345	Q6MG19	Q03146
D3ZHA3	Q8BLG2	Q99677
Q8K194	Q8WVK2
Q6PJT7	D4A652
Q15714	P62501	P62500
Q5QNS5	Q6UXG3
P47875	P97315	P21291
Q68CR1	D3ZIJ4	Q80TS8
G3V7J9	Q64437	P40394
Q80VD1	D4AE02	Q52LJ0
Q922G2	D3ZEU8	Q8TAV0
Q9Z206	Q498M6	Q7Z628
Q9H6D8	A0A096MKG0	Q3TR08
F1M0Z3	Q99829	Q8C166
P48047	Q06647	Q9DB20
Q15256	G3V6L5	Q62132
O70274	Q12974
Q9BUE0	M0R976	Q9CZ82
F1LZT3	Q7TSD4
O60508	F1LTB9	Q9DC48
P20340	G3V6H0	P35279
Q9D7L8	D3ZD96	Q6UXZ0
Q9UH99	D3ZTT7	Q8BJS4
Q5TBB1	Q5XI96	Q80ZV0
Q8K268	Q66H39	Q9NUQ8
Q6AY06	Q9D9J7	Q8IYV9
Q6PB75	D3ZSY1	Q5XG87
F1LV54	A0A0R4J0M7	Q8N3H0
P28078	P20760	P28067
Q92731	Q59IV9
P32182	A2BDY3	Q9UJU5
Q6PFX2	Q5SZJ8
Q7L190	A0A096MIU9	Q8CCG4
F1LU78	Q6P7W0	Q9GZR1
Q8IZD2	A0A0G2JWF0	Q3UG20
P29595	Q15843	Q71UE8
P53597	A0A0H2UHE1	Q9WUM5
Q99569	O35116	E9QKH8
O88876	Q3B7V0	O75911
A0A0G2K0J7	Q7TSG2	Q9Y5B0
Q0ZGT2	Q9Z2J4	Q7TPW1
Q96Q05	E9PU02	Q3U0M1
P05132	A1L1M0	P22612
Q3UPH7	A0A0G2JZE7	Q8TER5
Q8N6Y0	Q3T1I3	Q8R370
D3ZUR6	Q70EK9	B1AY15
Q9D752	D3Z8D9	Q9UI95
B1H283	A2AVQ5
Q5JC29	Q5DU57	Q9NZM3
P24046	P56476	P47742
P59047	D3ZDM5	Q9R1M5
P13010	G3V817	P27641
Q3U108	A0A0G2K0Q5	Q03989
P83870	P83871	Q7RTV0
G3V791	Q6VMN6	P49683
P54311	P62874	P62873
Q6UX15	D3Z895	Q8C351
Q96MG7	A0A0G2K397	Q99PB1
Q9JHG6	Q6IN33	P53805
Q9Y6D9	D3ZIV3	Q9WTX8
A0A1W2P8B8	F1M8Z0	Q96IV6
Q8R560	P69744	Q9NQA5
Q9D855	B2RYS2	P14927
A0A0A0MY22	P70665	Q9HAT2
Q9WTW2	Q9JJV7	Q9Y6H6
Q9H237	D3ZVQ3	Q9JJJ7
Q9QXK8	P12760	P48645
D3ZB36	Q9D258	Q8N6N7
Q9Y6B7	D4AD35
Q9P2A4	Q8BYZ1	Q6AYC6
O75884	O88350	O88851
Q9R187	D3ZGP2	Q9UNE0
Q3T1J1	P63242
A0A0G2K4G0	Q61818	Q7Z5J4
P21912	P21913	Q9CQA3
Q99727	P81556	Q9JHB3
P41588	P35000	P41587
P11362	E9QNJ9	Q62838
Q5EBA7	Q9R098	Q04756
Q3V118	F1LST7	Q8N715
D3ZPS9	Q8VEB3	Q96GV9
Q9ESV7	Q99626	P09026
D3ZBQ4	Z4YJE9	Q9H974
E9PTD9	G3X8Y8	O60603
Q8TE04	D3ZWD3	Q8K4K6
Q5H8C4	Q96RL7
G3UWR8	F1LM09	Q93009
G3XA31	D2IYK5
Q9R120	Q00322	Q03933
Q9JJR6	Q5PPI0	Q9NQ32
Q9D071	M0R6T4	Q96T76
Q9H0U9	Q642B1	O88852
Q8K1T0	D3ZY65	P57727
D3ZGK2	Q9D0U1	Q8NBA8
O08638	G3V9Y1	Q9UKX3
Q9UNQ2	G3V7R8	Q9D0D4
Q9H2H8	Q812D3	Q9D6L8
Q7TPM1	D3ZZ51	Q5JSZ5
Q91V45	A0A1W2Q6L7	Q969F8
O15353	D4A1T1	Q61575
Q32KG4	M0R6H3	Q8NET4
Q5BJP5	Q8CIB6	Q96A57
Q69ZA1	F1M1X9	Q14004
Q8VC97	D3Z8J1	Q9UBR1
P35228	M0RDG2	P29477
Q96QF0	A1L127	Q68EF0
Q9Y2I1	Q08602	Q80TM9
F1LZW6	Q9QXX4	Q9UJS0
Q5PRF9	D4A769	G5E8A7
Q9Y6N7	G5E843
F1LYD8	P97762	Q8TA86
O35205	F1M8K5	P49863
G3V6M8	Q9CWU9	Q8NFH4
P78310	Q9R066
P55290	Q8R490	Q9WTR5
Q04827	P51945	Q6ZMN8
A0A0G2K9K6	Q8K450	Q8N0X2
Q99PG4	G3V6I0	Q9NS28
G3V885	Q02566
Q8BIZ6	Q8TAD8
Q5BJV6	Q9ERH6	Q96BY2
Q2M296	M0R5E8	Q3URQ7
P97535	Q8VI78	Q53H76
P63162	P63163	P63164
Q9QXP7	Q5XIG2	Q9BXJ1
Q9BU61	O08776	Q9JKL4
Q9QY84	Q641W9	Q9Y615
Q9D945	B0BN98	Q9BRT6
Q4QQU6	Q8BGT7	O75940
D3Z8R4	Q16083
P12645	G3V903	Q8BHE5
A0A1B0GRU3	Q9UPT8	D3ZVW3
O35130	D3ZDS4	Q92979
Q96AX1	A0A0G2K5N1	Q9D2N9
Q9WV86	Q9BVQ7	Q6E0V2
Q9GZT8	Q4V7D6	Q9EQ80
Q68J44	P0C595	Q8BK84
Q8VIG3	A0A0G2K8M2	Q8WYR4
A0A0G2JUS5	Q9JMF7	Q86YN1
Q925F0	Q9DC77	Q9UHP9
P60041	P60042	P61278
D3ZIA5	Q91WD7	Q8NI77
G3V6E5	O70578	Q06432
Q8BGT0	Q4QQU9	Q86WC4
B5DF66	Q9CZV5	O94864
P55061	P55062	Q9D2C7
Q7Z572	Q68A65	Q8BHW6
Q5XHY3	Q99MV2
F1LY77	Q5SS91
Q9NY46	F1LX08	A2ASI5
Q86TG1	Q9QZE9	Q91WN2
B5DEQ1	Q9HBI5
Q96EV8	M0RC42	Q91WZ8
D3ZW24	P20615	P17482
Q13888	A0JN27	Q9JIB4
D3ZT71	P59017	Q9BXK5
P68402	O35264	Q61206
Q6PJF5	F1LWZ3	Q80WQ6
Q6AXQ1	Q9QXW4	Q9NQT6
D3ZA65	Q69ZM6	Q9NRP7
Q7TNF8	F1LPI6	O95153
Q3U9D6	F1M0F4	Q8TAG9
Q86XA0	D3Z9R2	Q8R1C6
P10598	G3V9R5	P05814
D4A2W7	Q5XJV7	Q9C0A6
Q8K039	Q5RKH3	Q96AT1
O54701	P70414
Q99757	P38659	P97493
P01178	P01179	P35454
Q6PGH2	Q9H910
Q3UK37	D4A8N6	Q86SX3
Q0VAA5	D4A4P6	B2RXA1
Q9BZS1	D4Q8I2	Q99JB6
E9PT37	Q3UQS8	Q5T481
Q9UIV8	D3ZKA0	Q8CDC0
B1AT66	A0A0G2K5U1	O15403
Q63635	Q9JKK1	O43752
B2RYS6	P00493	Q9NRG1
P21754	A1L124	P10761
Q3UIZ8	E9PT87	Q32MK0
Q8CJI4	P16402	Q5RKG3
M0RB87	Q9WV56	Q9UK05
Q9NPF7	Q91Z84	Q9EQ14
D3ZFM2	Q9JIL5	Q9NRJ4
Q9UJ78	D3ZPX0	Q91VR5
O70503	Q6P7R8	Q53GQ0
E9PYH0	D4A8Y6	P13611
C6ZII9	Q8R104	Q9NTG7
Q06587	Q9QZS2	O88846
O15061	G3V9G5	Q70IV5
P23359	G3V6W8	P18075
P28072	Q60692	P40307
Q9UPY3	E9PU15	F8VQ54
P48023	P36940	P41047
P53567	P26801	P53568
D3ZJJ0	Q3UQI9	Q4G0A6
O00468	A2ASQ1	F1LPF2
D3ZGH2	Q8BV16	Q8TD17
Q8C850	D3ZPA7	Q6AZY7
O35316	P31643	P31641
O43164	Q63364	Q80U04
Q8C120	M0R6D9	Q8TEJ3
O14647	A0A0G2KA92	E9PZM4
O08992	O35430	O00560
B1WBY5	Q5U458	Q9NVH1
M0R7B3	Q920R0	Q6PF18
D4A0Z0	Q5M9N4	Q14442
Q9NQX5	Q6AY81	Q64322
Q9QYB8	Q05764	P35612
Q91X70	F1M7F7	P13671
P25962	P26255	P13945
Q5JVS0	A1L1K8	E9QKB2
Q15276	O35551	O35550
Q6AYK3	Q9JHU9	Q9NPH2
D3Z8X5	Q58Y75	Q8IZF5
Q7TSZ8	O35260	Q14129
P12755	A0A0G2K628	B1AUF1
Q96JG6	F1LSG8	Q8CI71
E2CWF0	P48455	P48454
E9PVD3	D4ACX8	Q96JQ0
Q8C145	Q4V887	Q13433
A0A0G2K2K1	P54750	F6X0V1
Q9H1B5	Q3KRD6	Q9EPL0
R9PXT8	P47242	P55771
D3ZP27	Q8CHY3	Q7RTS9
P59823	P04211
Q9QXV8	Q5HZA2	O43597
Q14820	F1LSC3
Q9BZR6	Q99M75	Q99PI8
P43004	G3V6R0	P43006
Q5RJK3	Q9D075	Q6PF06
E9Q0F0	A0A0G2K4H7	Q8N1N4
P21571	P97450	P18859
O08651	Q61753	O43175
P01282	P01283	A0A0R4J003
Q9Y6R1	Q9JI66	O88343
Q9DCC3	D4A3Y2	Q8WV48
Q60753	Q63086	Q16619
Q9UKU6	G3V6Q2	F8WGB2
Q9DC41	O95757	F7F2F3
O14867	D4ACD2	D3Z224
Q6P7Q1	Q8K3W0	Q9NXR7
D3Z924	S4R1N2	Q6PJP8
D3ZFY2	Q5RJ54	Q16670
D3ZAG6	Q6P566	Q8N485
A0A0G2JZH0	Q06138	Q9Y376
D3ZMA2	Q8VEL2	Q8NCE2
Q60931	A0A0G2JSR0	Q9Y277
Q9Y2I9	D3ZG06	Q69ZT9
D4ADD7	Q80Y14	Q86SX6
Q14161	Q66H91	Q9JLQ2
E9PT19	Q2VPA6	Q8TDG4
P09405	Q5U328	P19338
Q99470	D4A9Y0	A0A0R4IZW9
D3ZWF5	Q9JIX0	Q9NPA8
Q9Y2Y6	Q6AYS5	Q91X86
O70309	F1LZ38	P16144
Q05AA6	Q15945	Q9EPA0
D3ZTK9	E9QPK5	O75971
Q80VW7	D3ZLV5	Q7Z591
D4A7V8	Q6P3A4	P0DPA2
Q9EQY0	A0A0G2K2H4	O75460
D3ZDM7	Q922Z0	Q99489
Q8TC76	Q5BJX5	Q8C739
Q9D7Z7	D4A9M5	Q6UWN5
Q9ULJ8	O35867	H3BJD6
Q99KL7	P51158	P51157
Q8NEV1	D4A3U7	Q9WUI1
P11530	P11531	P11532
D3ZNG4	Q69ZS6	Q8TD20
Q9CRA5	Q569C9	Q9H4A6
G3V6J8	Q8K4K4	Q96RU8
P61621	P61620	P61619
Q8C419	A0A0A0MY13	Q5T848
G3V680	Q64685	P15907
Q6NZB1	Q96LA8
Q78ZR5	Q8R1H0	Q9BPY8
Q7L1S5	F1M862	Q76EC5
Q14596	A0A0G2K0K7	P97432
Q9NUS5	A0A0G2K3F6	Q9D742
Q8IYK4	D3Z9Z7	Q6NVG7
O96024	Q6MGC2	Q9Z0F0
Q6R327	P09811	Q6QI06
O08967	A0A0G2K9V4	O43739
P26687	Q9EPJ1	Q15672
Q9BZE4	M0R623	Q99ME9
Q6RFH4	D3ZLK1	Q8N6F7
D3ZQL8	Q80U58	Q8TB72
Q496Z3	Q8K0C1	O94829
Q5F1R6	A0A0G2QC19	E9Q8D0
P81269	F7FD47	P18846
M0R8R4	Q8R4V5	Q8WWZ8
Q641Y0	O54734	P39656
Q8K0Y7	A0A0G2QC22	Q9BUH6
D3ZMM4	Q6PDY0	Q15834
P19999	P39039
Q33DR2	M0R6Q9	Q5T2R2
G5E8C0	Q5TEC3
Q8K258	Q96K97
D3ZVS2	Q91YP0	Q9H9P8
Q8BPU7	G8CYZ7	Q92556
Q99972	O70624
P49247	D4A7L6	P47968
P63014	A2APZ7	P54821
Q9NQV8	D4A123	B2RU90
Q61245	P20909	P12107
O00443	F8VPL2	D3ZVF3
Q8VDZ4	Q2THW7	Q9C0B5
Q499V1	P52624	Q16831
Q91V93	Q5BJV7	Q9BYZ6
Q9CR57	P50914
Q96EY7	A0A0G2JU15	Q14C51
Q80ZI2	D3ZCW1	Q5QGT7
Q9QY44	Q91VT3
D4A1V7	Q8BPB0	Q7L9L4
O75325	D3ZAV8	Q6PHP6
Q499E6	D4AB92	Q9NX04
Q8R1G6	Q6AYD6	Q96JY6
A2RT67	D4A2H4	A2RUS2
D4ADG2	Q8CAK1	Q5T440
Q9Z2B2	Q9EP88	O95258
Q6PGQ7	Q5M864	Q8BS90
B2GV04	Q8VCZ7	A1YPR0
Q9NUQ9	B2GUZ9	Q921M7
Q66HE2	Q8CE94	Q7RTY0
Q07113	G3V824	P11717
A0A0G2JSZ5	P08003	Q8IXB1
P55036	O88321	O35226
P68368	Q5XIF6	P68366
Q9DCV3	Q5FVP8	Q96PD7
D3ZQT7	Q8BG87	O43151
Q8BJ73	D4ACX0	Q2I0M5
Q13310	B5DF80
E9PYH6	O15047
Q8R0N6	Q4QQW3	Q8IWW8
O08719	P70429	Q9UI08
Q505J8	Q8C0C7	Q9Y285
E9QL43	D3ZHV0	O15504
D3ZEI4	Q640R3	Q14CZ8
Q6AYJ5	Q8R3P7	Q96AJ1
O43679	E9PTQ0	O55203
F8WGV3	D3ZXL0	Q8NG04
O14596	D4A4S5	Q05685
Q9BXU9	Q06BI2	Q9JJG7
P28064	P28063	P28062
O35615	D4A168	Q8IX07
Q6P253	Q6E0U4
Q9BWQ6	Q5XIT3	Q99LP8
Q6P1E7	D4A8C0	Q96LW4
Q8BTM8	C0JPT7	P21333
Q8VE10	D3ZZQ5	Q86UY6
D4AA26	Q99NA2	Q96SQ7
Q8IVM0	Q810U0	Q810U5
Q5S6T3	Q5RJG7
P11217	G3V8V3	Q9WUB3
Q8N302	F1MAK0	Q3URD3
Q9DCU0	Q5PQT5	Q9NXK6
P62749	P27005	P05109
Q9D110	Q5M9F6	P49914
Q15025	Q9WUU8	D3ZHV1
Q17RS7	D3ZVS5	Q8BMI4
P13864	Q9Z330	P26358
Q14CX7	Q6QI44	Q8BWZ3
D3ZMD3	B2KF05	Q9ULD4
Q66HG7	Q9DBN9	Q5T1V6
Q9ULE6	D3ZCT5	A0A0R4J007
M0RBD9	Q71FD5	Q8NHG8
Q6IE24	Q8BL06	Q70EL1
F1M4I4	Q3UVL4	Q9UID3
Q9UEY8	A0A0G2JW28	Q9QYB5
Q8VHS2	D3ZZL8	P82279
Q9UPI3	A0A0G2KBA9	A0A0R4J0E9
Q14D04	Q5PQS3	A1A535
O00182	P11762	O08573
Q8BGS0	Q5EB56	Q9BXY0
Q5SYH2	Q5BK13	Q8N511
Q8TBC5	D3ZCL4	E9PUD6
Q96GC5	D3ZDX7	E9QPQ8
O35453	A0A0G2KB31	P05981
Q9DAG9	Q6AXW4	Q9BWX1
D3ZLH8	A2AQ19	Q92541
Q9NQ90	A0A0G2JXB5	Q8CFW1
Q9H3N1	Q52KJ9	Q8VBT0
A0A0H2UHR3	P08046	P18146
A0A0G2QC60	A0A0R4J0I7	P25791
D3ZFS7	E9QLB2	Q5VWZ2
Q96C86	Q3B8P4	Q9DAR7
Q96D09	D4A542	Q8BUY8
Q3U214	Q9WTQ0
B4F779	Q8K3G9	Q8NEU8
Q9D159	D4A897	Q8TCY5
Q6NT76	D3ZER1	Q8BJA3
D4A4F0	A0A1B0GRJ3	A0A1B0GTZ2
P30086	P31044	P70296
Q91WN3	Q5RKI7	Q8TCU3
F1LZ77	Q75UR0	Q75V66
P43353	Q5XI42	Q80VQ0
Q9H6N3	M0RC73	Q80UM3
O95249	Q62931	O88630
Q61467	Q8N9L1
Q9NP62	Q9Z288	P70348
Q9UIX4	D4AD53	A2BDX4
Q5T2E6	D3ZZE3	Q6PD19
O75419	B1WBZ4	Q9Z1X9
Q8N4X5	M0R484	Q5DTU0
E9PZ26	D3ZUW8	O95696
Q6IFV5	B1AQ75	O76013
Q8N653	B5DFI4	Q9CQ33
P07550	Q8BLD9	P14842
P51684	O54689	Q8CH33
P04202	P17246	P01137
D3ZU00	P48437	Q92786
Q922B2	P15178	P14868
E9Q3X0	A0A140TAE0	Q14764
Q9CR29	Q5BK07	Q96MW1
Q9P2P1	M0RAC3	Q5DTZ0
R9PXY9	Q6IMP4	Q96RD6
Q96HA4	Q5XIR1	A2ASP7
Q8C1A9	D4A556	B7WP89
Q6ZQ12	D4A5N1	Q9Y2I6
Q78YZ6	Q5RJZ6	Q9UIL1
Q5SRE7	Q5BJP9	Q9DB26
O88211	P09056	P15018
Q9CPV4	Q5I0D1	Q9HC38
O15050	D3ZSG2	Q8BV79
Q3TG86	Q4G0S4
B0BNG7	Q8VHN8	Q9BRJ7
D4A545	Q9D8U6	Q8IX19
P55054	P04117	P15090
D3ZC15	Q3V3V9	Q6F5E8
F1LU71	A0A0R4J023	Q13825
P47955	P05386
A2CFG5	Q8WUE5
D3ZT64	Q6P4T0	Q2TAZ0
B1AVY7	D3ZFN9	Q96L93
Q80X66	Q5EAP0	Q9BSF8
P10077	Q8TF20
Q99LE1	Q6AYA0	Q969X0
Q8VI81	O35622	O95750
Q9Y303	Q5BJY6	Q8JZV7
Q13795	Q63055	Q8BXL7
Q6GX86	Q32P12	Q8N3J3
Q9CXX9	A1L131	Q9H467
A1A5P3	A0A0R4J1G4	Q96B01
Q9BYC5	D4IGX4	Q9WTS2
Q91WD9	F1LN07	O76038
P24278	Q6P754	G3UW50
W8C8J2	Q6B0I6	Q62240
A0A0R4J0Q4	Q5FWS5	Q08397
P70349	P49773
Q4V896	Q91WE1	Q9NRS6
P14651	F7FL39	P10284
P08081	B1AWD9	P09496
G3UXC7	D4ADD4	P82987
B3GSH5	A0A0R4J285	O95671
Q9D328	Q6JAM9	Q53FP2
Q8BHG2	Q498R7	Q9NWV4
E9QKL0	Q9Y4B4
B2RXR6	F1LZH9	Q8N8A2
A0A0G2K6D5	Q8K411	Q5JRX3
R9PXX7	Q9QZS5	Q9HBY8
Q91WC3	P33124	Q9UKU0
Q8BJX2	A0A0G2QC30	Q9NUD7
G3V7L4	O88338	O75309
A2A9M4	A0A0G2K3H2	Q96N67
P13164	Q9R175	Q99J93
Q8WUZ0	D3ZUL4	O08664
J3QM81	A0A0G2K4R1
D3ZYJ5	Q80TI0	Q3KR37
Q5SPX3	D3ZNU0	Q9Y6U7
F7FKK4	Q8C8K6	Q5T6C5
D4A877	Q8BG79	Q2TBE0
P43267	O60248
Q6PIU1	Q8BZN2	P97557
D3ZR22	Q8CD78	A2A2V5
Q2QL34	D4A908	Q99MS3
Q8N2G6	D3ZQ09	B2RVL6
Q60587	Q99JY0	P55084
Q13325	P56558	G3X9Z7
Q3TBW2	P0C2C4	Q7Z7H8
O15031	D3ZQ57	B2RXS4
A2AFJ8	D3ZWQ8
A2AJG0	Q497C2	P78345
P15153	Q5U1Y2	Q05144
P62702	P62703	P62701
Q9Y5I2	D4A477	Q91Y11
B1AVZ0	D4ABC7	Q96BW1
D3ZAQ3	Q810F8	O75333
Q7LDG7	Q9Z1N9
Q9WTP3	B2RYE0	O95238
P26954	M0R5M8
A0A0G2K3I3	P55292	Q02487
P26817	Q99MK8	P25098
A0A0A0MXV8	Q80T41	O75899
P47989	F1LQS6	Q00519
Q9QZK2	Q5M824	Q9BRG2
Q9JKD8	D3ZCM2	Q9UL17
Q9BWV7	D3ZF82	A4Q9E4
E9PU01	H3BLH0	Q14839
G3V8B2	Q11204	Q16842
Q9H902	D4A193	Q8BGH4
Q8BH73	B5DFI7	Q9NXS2
F1M062	Q6ZQ58	Q4G0J3
Q8BWY4	Q6AYD1	A4D2B0
P35713	P43680	Q4V7E4
Q0VBH4	Q5FVG7	Q9H3Y6
Q9UL92	Q6P6V8	A2NTU7
Q02575	D3ZN93	Q02576
G3V709	Q8CC86	Q6XQN6
D3ZHS3	Q3UH85	Q96MY1
D4ACT8	Q9Y5G9	Q7TQF1
Q96HR3	A0A0G2JWW8	Q9CQI9
Q9H999	D3ZUQ7	Q8R2W9
P38444	Q9QZL0	Q9Y572
P0DME0	Q9EQU5	Q63945
Q6NUM6	B5DF48	Q8BJM7
Q3UP38	D3ZAG1	Q9BSW2
P01920	Q6MGA2	P01921
Q0VDD8	D3ZDU2	Q8K4Q0
Q8VCX5	A0A0G2K0T5	Q9BPX6
Q498M4	P61965	P61964
D3ZBX0	Q8VBX4	Q9UJ71
Q8WVH0	D4ABY0	Q8R1B5
Q80UL9	D4A1C2	Q86YT9
D4ADJ7	Q9D8C6	Q9P086
Q9Z0J4	P29476	P29475
Q7Z494	D4A1W7	Q7TNH6
Q61555	F1M5Q4	Q9UHX3
D3ZCM7	Q62440	Q04724
O95644	D3ZE20	B5B2N2
P62277	M0RCY2	P62301
G5E874	M0R6K0
Q01339	P04003	Q5M891
Q8R1P5	M0RCJ1	Q9HB14
M0R8G5	A0A1B0GR74	A6NJ69
Q9NRR3	V9GZ87	Q8BGH7
F1LZ08	P53776	Q969G2
G3V962	Q9ES90	Q9HC97
Q8CE72	D3ZK35	Q9H799
G3V8H5	Q5D0E0	O14920
E9Q6J5	M0RC54	Q8NFC6
Q8BL80	A0A0G2JTT7	Q7Z5H3
P02787	P12346	P08071
Q921J2	O95661
Q9H7E2	A0A096MIS7	Q91W18
Q80WD1	Q7M6Z0	Q86UN3
F7F5J1	Q9R210	Q9HAP2
Q6KAR6	Q62825	O60645
M0RDE8	Q9DAC7	Q5I0X7
D4AE03	Q8BX80	Q8NFI3
P54252	O35815	Q9CVD2
F1LPF7	G3X9D9	P07476
P80313	D4AC23	Q99832
A0A0G2K9D8	Q3UR97	Q969T3
B5DF74	G5E8A0	Q9BXB4
Q6ZN54	Q4V8I4	Q99J78
O35385	D3ZN69	O14830
Q641Z9	Q9CZB0	Q99643
B2RXB0	Q5RJN7	Q8NEG0
O43776	F1LPV0	Q8BP47
D3ZWZ9	Q8BUV8	Q5VW38
P50440	A0A140TA89	Q9D964
Q9BV97	D3ZAB7	A0A1D5RLR2
E9PSZ0	A0A087WSK7	Q9P0S3
F1LWT9	Q61199	O95156
D3ZMS4	Q6ZQ82	Q9UNA1
Q5BJT7	Q7TQK5	Q567U6
G5E884	P35465	Q13153
M0RAM5	P11352	P07203
A4L9P8	A0A1N9NPH8	Q9C0D2
A0A0B4J1F1	D4A7E9	Q9UBI4
G3V783	P58801	O43353
Q8BGY2	G3V7J7	Q9GZV4
P53680	P62744	P62743
O75056	G3V9B7	Q64519
P40227	Q61390	Q3MHS9
Q6YI46	D3ZV19	Q3U145
Q4QQS8	Q8R480	Q9BW27
Q91XY7	Q9UN66
Q91WF3	Q66HK5	Q8NFM4
D4AAG4	E9Q5G3	Q02241
Q9Z266	P60192	O95295
D4A781	Q8BKC5	O00410
A0A087WRR7	Q3SY52
D3ZYL0	Q60855	Q13546
P18052	Q66HJ7	Q16849
Q4V8F4	Q8VCH5	Q7Z6M1
D6REU8	Q498T0
P54619	P80385	O54950
Q9NP77	Q4KLK9	Q9CY97
P19237	A0A096MIZ5	Q9WUZ5
D3ZGA5	Q5ND29	Q96NA2
A0A0S2Z4Q4	Q3UMA3	A0A140TAH1
Q8BHD8	D3ZY20	Q9NV79
P29293	P23578	P10323
D4ACZ1	Q8BPP1	Q9Y586
Q5XG69	D3ZKX8	Q9Y6X4
D3ZVR7	Q9DB60	Q8TBF2
Q92530	F1M7S2	Q8BHL8
G3UXW9	B5DEP6	P61201
Q99LE2	D3ZIS6	Q96CH1
Q91Y06	Q9Y5G6
Q9H6H4	Q4QQW1	Q8K072
P31323	Q9JKA8	O88704
Q91VT4	Q7TS56	Q8N4T8
Q8N9F7	A0A0G2K8E7	Q9CRY7
P52209	Q9JJ76	Q9DCD0
P31316	Q9BZM3
Q810B8	Q8IW52
Q8R409	Q5M9G1	O94992
H9BFG8	Q6NXH3	Q86WP2
Q8R087	A0A0G2K4C0	Q9UBV7
Q96F05	Q4V7A5	Q9D8N1
Q61079	A0A0G2JX87
P98083	G3V8S2	P29353
Q9NP59	Q923U9	Q9JHI9
Q86W42	Q6AY87	Q5U4D9
G3V8U2	Q9Z2X8	Q14145
Q9ERQ6	Q3U5A2	Q02505
F7ERL4	Q99L48	Q96D46
Q8BG47	D4A723	Q8N8N0
Q8BYX4	Q62940	Q9Y4D8
Q10587	P41224	Q3TZR9
Q8BKT6	Q569A2	O95859
Q9NUX5	A0A0G2JX31	Q91WC1
Q9NRD0	Q5M7U1	E9QAD8
Q8CGE5	Q96RT6
P35459	D3ZF96	Q14210
P60825	P60824	O75526
Q8BMY7	F1LRJ7	P20155
A2AQW0	Q6ZN16
Q6MGC8	G3UX50	Q96C90
Q6PG95	D3ZNU3	Q96RY5
D3ZMT4	P23738	P19113
Q8IYU2	D3ZBM7	Q3U0D9
P36269	A0A1W2Q6I6	Q9Z2A9
Q6X9E4	Q9CZV8	A0A0H2UI14
B0BMY6	Q3UCV8	Q96BN8
O54968	Q9Y4A8	Q9WTM4
P04918	P0DJI8
F1LR11	Q8BFZ2	Q8TBJ4
A2RSX4	D3ZRE5	Q8N7X2
P31150	P50398	P50396
Q08877	Q8BZ98	Q9UQ16
P58391	G3V8S7	Q9UGI6
G3V8A9	Q5BKQ4	P54315
Q9UDY4	Q6TUG0
Q3U2S4	Q96G74	A0A0H2UHD0
O75146	F1LML7	Q9JKY5
Q9NRW8	P26041	A0A096MK30
Q4VAC9	D3ZA21	A1L390
M0R4K3	Q8VIG0	Q8WYQ9
Q9CXC9	D4AC56	P41161
P42209	Q5EB96	Q8WYJ6
Q60759	Q92947
F1M6B6	Q8VHR0	Q9P2E7
F1LMH0	Q9Z1S5	Q9UH03
Q8VDG6	D4A454	Q5TCX8
